model,axis,strength,effect,baseline_gap,normalized_steerability,input_path
Gemma-4-31B,competence,0.0,0.0,51.279687499999994,0.0,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,competence,0.05,0.00390625,51.279687499999994,7.617538620920808e-05,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Gemma-4-31B,competence,0.1,-0.05703125,51.279687499999994,-0.001112160638654438,results/tables/steering_dense_gemma4_31b_calibrated_scckn_rtx6000.csv
Qwen3-14B,competence,-0.1,-0.7375,10.725,-0.06876456876456877,results/tables/steering_dense_qwen3_14b.csv
Qwen3-14B,competence,-0.05,-0.40625,10.725,-0.03787878787878788,results/tables/steering_dense_qwen3_14b.csv
Qwen3-14B,competence,0.0,0.0,10.725,0.0,results/tables/steering_dense_qwen3_14b.csv
Qwen3-14B,competence,0.05,0.55625,10.725,0.05186480186480187,results/tables/steering_dense_qwen3_14b.csv
Qwen3-14B,competence,0.1,1.1125,10.725,0.10372960372960374,results/tables/steering_dense_qwen3_14b.csv
Qwen3.6-27B,competence,-0.1,-0.44375,18.5,-0.023986486486486484,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-27B,competence,-0.05,-0.15,18.5,-0.008108108108108109,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-27B,competence,0.0,0.0,18.5,0.0,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-27B,competence,0.05,0.10625,18.5,0.005743243243243243,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-27B,competence,0.1,0.30625,18.5,0.016554054054054055,results/tables/steering_dense_qwen36_27b_calibrated_topicfix_scckn_rtx6000.csv
Qwen3.6-35B-A3B,competence,-0.1,-1.41875,16.2,-0.08757716049382716,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,competence,-0.05,-0.8,16.2,-0.04938271604938272,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,competence,0.0,0.0,16.2,0.0,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,competence,0.05,0.6875,16.2,0.04243827160493827,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
Qwen3.6-35B-A3B,competence,0.1,1.45,16.2,0.08950617283950617,results/tables/steering_dense_qwen36_35b_a3b_calibrated_scckn_rtx6000.csv
