layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm,warmth_direction_topic_cv,warmth_direction_topic_cv_std,comp_direction_topic_cv,comp_direction_topic_cv_std,warmth_to_comp_topic_transfer,warmth_to_comp_topic_transfer_std,comp_to_warmth_topic_transfer,comp_to_warmth_topic_transfer_std,warmth_cohens_d_ci_low,warmth_cohens_d_ci_high,comp_cohens_d_ci_low,comp_cohens_d_ci_high,cos_wc_ci_low,cos_wc_ci_high
38,0.6441,False,1.0,0.0,1.0,0.0,6.349553,4.605275,0.589677,235.0348,1.0,0.0,0.98,0.024495,0.95,0.044721,0.81,0.037417,5.303262233734131,8.48737621307373,3.925705909729004,6.0003662109375,0.5210559964179993,0.6073539853096008
39,0.661,True,1.0,0.0,1.0,0.0,7.562413,6.031858,0.526157,188.5253,1.0,0.0,1.0,0.0,0.95,0.031623,0.88,0.05099,6.157865047454834,9.47026252746582,5.292337894439697,7.407628059387207,0.4590489864349365,0.5450059771537781
40,0.678,False,1.0,0.0,1.0,0.0,6.931962,6.03565,0.516208,173.9925,1.0,0.0,1.0,0.0,0.94,0.037417,0.88,0.067823,5.64408016204834,9.109724998474121,5.147402763366699,7.690649032592773,0.4504059851169586,0.535178005695343
41,0.6949,False,1.0,0.0,1.0,0.0,6.944411,6.057252,0.47962,197.2304,1.0,0.0,0.99,0.02,0.87,0.05099,0.87,0.067823,5.739404201507568,8.928180694580078,5.148801803588867,7.9411821365356445,0.4161910116672516,0.49670401215553284
42,0.7119,False,1.0,0.0,1.0,0.0,5.1993,4.762041,0.516816,201.6204,0.97,0.04,0.98,0.024495,0.85,0.083666,0.87,0.05099,4.462976932525635,6.801377773284912,4.128975868225098,6.2900872230529785,0.4514949917793274,0.5367259979248047
43,0.7288,False,1.0,0.0,1.0,0.0,4.015577,3.626285,0.543845,180.8614,0.94,0.037417,0.94,0.037417,0.83,0.04,0.84,0.04899,3.527923107147217,5.304969787597656,3.227379083633423,4.819410800933838,0.47024598717689514,0.5674319863319397
44,0.7458,False,1.0,0.0,1.0,0.0,3.228871,2.984277,0.529039,173.8128,0.91,0.037417,0.9,0.044721,0.77,0.05099,0.79,0.037417,2.8343560695648193,4.508206844329834,2.6785590648651123,4.247598171234131,0.4434089958667755,0.5623109936714172
45,0.7627,False,1.0,0.0,1.0,0.0,3.325907,2.905415,0.528354,160.9611,0.91,0.037417,0.88,0.06,0.79,0.037417,0.77,0.024495,2.9109599590301514,4.664691925048828,2.6692628860473633,3.9155750274658203,0.4387489855289459,0.5618879795074463
46,0.7797,False,1.0,0.0,1.0,0.0,3.653494,2.991581,0.529932,154.0218,0.92,0.05099,0.88,0.074833,0.81,0.05831,0.74,0.073485,3.2265520095825195,4.990958213806152,2.7813570499420166,3.8339619636535645,0.4417720139026642,0.5614830255508423
47,0.7966,False,1.0,0.0,1.0,0.0,4.017491,2.997087,0.518047,154.2155,0.96,0.04899,0.88,0.092736,0.8,0.054772,0.73,0.06,3.502307891845703,5.423065185546875,2.7909491062164307,3.7879340648651123,0.42734599113464355,0.5505989789962769
48,0.8136,False,1.0,0.0,1.0,0.0,4.05196,2.947008,0.509559,156.2121,0.95,0.044721,0.88,0.092736,0.82,0.05099,0.71,0.08,3.5498108863830566,5.431983947753906,2.7554240226745605,3.6987500190734863,0.4171670079231262,0.5432680249214172
49,0.8305,False,1.0,0.0,1.0,0.0,4.187758,3.037587,0.515598,140.8937,0.96,0.04899,0.9,0.044721,0.8,0.063246,0.71,0.05831,3.703950881958008,5.558651924133301,2.8260529041290283,3.7881650924682617,0.42000600695610046,0.5496540069580078
50,0.8475,False,1.0,0.0,0.99,0.02,4.639123,3.323148,0.492756,121.8297,0.96,0.04899,0.9,0.044721,0.81,0.05831,0.72,0.067823,4.070967197418213,6.116293907165527,3.1026999950408936,4.1850738525390625,0.39978501200675964,0.5235139727592468
51,0.8644,False,1.0,0.0,0.99,0.02,5.990131,4.290795,0.430926,90.469,0.98,0.024495,0.97,0.024495,0.74,0.086023,0.79,0.05831,5.225949764251709,7.497684955596924,3.9612650871276855,5.445611953735352,0.3506320118904114,0.45315301418304443
52,0.8814,False,1.0,0.0,1.0,0.0,6.235008,5.55084,0.373646,46.9295,0.99,0.02,1.0,0.0,0.82,0.067823,0.81,0.106771,5.340558052062988,7.764267921447754,4.994591236114502,6.915053844451904,0.2987540066242218,0.39194801449775696
53,0.8983,False,1.0,0.0,1.0,0.0,4.417397,4.94821,0.422728,65.5988,0.97,0.024495,0.99,0.02,0.76,0.066332,0.85,0.1,3.714711904525757,6.10560417175293,4.16224479675293,6.7156500816345215,0.34189099073410034,0.44172900915145874
54,0.9153,False,1.0,0.0,1.0,0.0,3.398101,3.995508,0.446075,69.049,0.91,0.037417,0.95,0.031623,0.71,0.05831,0.85,0.083666,2.8912479877471924,4.84176778793335,3.231127977371216,6.1196699142456055,0.35415399074554443,0.46445000171661377
55,0.9322,False,1.0,0.0,1.0,0.0,2.402668,3.101121,0.478061,68.8991,0.88,0.04,0.94,0.02,0.66,0.05831,0.81,0.037417,2.092801094055176,3.4914770126342773,2.4362239837646484,5.367613792419434,0.3533729910850525,0.5103650093078613
56,0.9492,False,1.0,0.0,1.0,0.0,2.616098,4.516838,0.413815,54.3539,0.88,0.05099,0.97,0.024495,0.66,0.04899,0.84,0.08,2.270721912384033,3.8181679248809814,3.159540891647339,6.993514060974121,0.29851898550987244,0.44822099804878235
57,0.9661,False,1.0,0.0,1.0,0.0,3.059835,6.00585,0.355694,32.0585,0.88,0.05099,1.0,0.0,0.66,0.037417,0.77,0.102956,2.5336599349975586,4.720503807067871,4.158508777618408,7.138344764709473,0.25150999426841736,0.3806949853897095
58,0.9831,False,1.0,0.0,1.0,0.0,1.722878,5.832939,0.38772,47.2282,0.78,0.102956,1.0,0.0,0.69,0.08,0.79,0.115758,1.503303050994873,2.7876429557800293,3.6097729206085205,6.911771774291992,0.24980999529361725,0.4385809898376465
59,1.0,False,0.81,0.096954,0.98,0.024495,0.725412,1.993246,0.404768,7.4799,0.63,0.092736,0.82,0.067823,0.55,0.054772,0.63,0.06,0.6540799736976624,1.1206339597702026,1.4591200351715088,2.855787992477417,0.16641199588775635,0.5247989892959595
