mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift,decision_flipped
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,-0.05,17.0390625,-1.443359375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,-0.05,16.046875,-1.3125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,-0.05,16.984375,-1.478515625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,-0.05,17.140625,-1.450439453125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,-0.05,15.640625,-1.203125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,-0.05,17.3046875,-1.328125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,-0.05,-21.9375,0.15625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.05,-22.25,-0.1875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,-0.05,-22.625,-0.28125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,-0.05,-19.65625,-0.03125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,-0.05,-22.78125,-0.1875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,-0.05,-23.28125,-0.5,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,-0.05,-23.5,-0.6875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,-0.05,-22.65625,0.1875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,-0.05,-22.3125,-0.21875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,-0.05,-22.46875,0.09375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,-4.8909454345703125,-1.4290872579037641,0.010967669077217579,False
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,0.0,17.80078125,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
