mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,sae_reconstructed,0.0,-8.0,0.0
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,sae_reconstructed,0.0,-7.875,0.0
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,sae_reconstructed,0.0,-7.875,0.0
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,sae_reconstructed,0.0,-8.375,0.0
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,sae_reconstructed,0.25,11.375,2.875
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,sae_reconstructed,0.25,14.375,6.75
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,sae_reconstructed,0.25,13.75,5.75
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,sae_reconstructed,0.25,14.25,6.125
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,sae_reconstructed,0.25,14.25,6.375
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,sae_reconstructed,0.25,14.375,6.375
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,sae_reconstructed,0.25,15.625,7.5
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,sae_reconstructed,0.25,15.0,6.75
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,sae_reconstructed,0.25,14.625,7.25
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,sae_reconstructed,0.25,14.25,6.25
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,sae_reconstructed,0.25,-10.125,-2.25
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,sae_reconstructed,0.25,-12.25,-3.5
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,sae_reconstructed,0.25,-10.875,-3.5
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,sae_reconstructed,0.25,-10.125,-2.0
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,sae_reconstructed,0.25,-11.5,-3.75
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,sae_reconstructed,0.25,-11.5,-3.375
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,sae_reconstructed,0.25,-9.75,-1.75
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,sae_reconstructed,0.25,-10.625,-2.75
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,sae_reconstructed,0.25,-9.625,-1.75
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,sae_reconstructed,0.25,-13.375,-5.0
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,sae_reconstructed,0.5,13.125,4.625
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,sae_reconstructed,0.5,13.3125,5.6875
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,sae_reconstructed,0.5,11.875,3.875
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,sae_reconstructed,0.5,12.625,4.5
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,sae_reconstructed,0.5,11.375,3.5
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,sae_reconstructed,0.5,13.0,5.0
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,sae_reconstructed,0.5,12.5,4.375
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,sae_reconstructed,0.5,12.4375,4.1875
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,sae_reconstructed,0.5,11.1875,3.8125
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,sae_reconstructed,0.5,12.625,4.625
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,sae_reconstructed,0.5,-3.125,4.75
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,sae_reconstructed,0.5,-4.0,4.75
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,sae_reconstructed,0.5,-2.625,4.75
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,sae_reconstructed,0.5,-4.25,3.875
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,sae_reconstructed,0.5,-3.75,4.0
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,sae_reconstructed,0.5,-5.75,2.375
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,sae_reconstructed,0.5,-3.5,4.5
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,sae_reconstructed,0.5,-2.875,5.0
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,sae_reconstructed,0.5,-3.5,4.375
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,sae_reconstructed,0.5,-3.75,4.625
