alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
-3.4218379974365236,warmth,low_warmth,sd_matched,False,-0.1875,warmth,3.2506901293408137,target,additive,warmth,0,-23.375,0.007543526124209166,steering,,-1.0526497024588486,warmth,low_warmth_t097_s00197,-0.05,97,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,23.125,0.0,steering,,0.0,warmth,high_warmth_t019_s00004,0.0,19,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,21.8125,0.0,steering,,0.0,warmth,high_warmth_t003_s00028,0.0,3,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,22.3125,0.0,steering,,0.0,warmth,high_warmth_t008_s00048,0.0,8,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,22.0,0.0,steering,,0.0,warmth,high_warmth_t035_s00092,0.0,35,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,21.625,0.0,steering,,0.0,warmth,high_warmth_t056_s00128,0.0,56,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,21.0,0.0,steering,,0.0,warmth,high_warmth_t057_s00132,0.0,57,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,21.9375,0.0,steering,,0.0,warmth,high_warmth_t066_s00140,0.0,66,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,21.9375,0.0,steering,,0.0,warmth,high_warmth_t078_s00164,0.0,78,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,21.8125,0.0,steering,,0.0,warmth,high_warmth_t079_s00168,0.0,79,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,1,22.125,0.0,steering,,0.0,warmth,high_warmth_t097_s00196,0.0,97,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-22.9375,0.0,steering,,0.0,warmth,low_warmth_t019_s00005,0.0,19,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-22.5,0.0,steering,,0.0,warmth,low_warmth_t003_s00029,0.0,3,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-22.9375,0.0,steering,,0.0,warmth,low_warmth_t008_s00049,0.0,8,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-20.4375,0.0,steering,,0.0,warmth,low_warmth_t035_s00093,0.0,35,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-23.1875,0.0,steering,,0.0,warmth,low_warmth_t056_s00129,0.0,56,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-22.6875,0.0,steering,,0.0,warmth,low_warmth_t057_s00133,0.0,57,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-22.9375,0.0,steering,,0.0,warmth,low_warmth_t066_s00141,0.0,66,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-22.0,0.0,steering,,0.0,warmth,low_warmth_t078_s00165,0.0,78,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-23.125,0.0,steering,,0.0,warmth,low_warmth_t079_s00169,0.0,79,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,3.2506901293408137,target,additive,warmth,0,-23.1875,0.0,steering,,0.0,warmth,low_warmth_t097_s00197,0.0,97,raw
3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.125,warmth,3.2506901293408137,target,additive,warmth,1,23.0,0.007523061241954565,steering,,1.0526497024588486,warmth,high_warmth_t019_s00004,0.05,19,raw
3.4218379974365236,warmth,high_warmth,sd_matched,False,0.375,warmth,3.2506901293408137,target,additive,warmth,1,22.1875,0.007523061241954565,steering,,1.0526497024588486,warmth,high_warmth_t003_s00028,0.05,3,raw
3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.3125,warmth,3.2506901293408137,target,additive,warmth,1,22.0,0.007523061241954565,steering,,1.0526497024588486,warmth,high_warmth_t008_s00048,0.05,8,raw
3.4218379974365236,warmth,high_warmth,sd_matched,False,-0.25,warmth,3.2506901293408137,target,additive,warmth,1,21.75,0.007523061241954565,steering,,1.0526497024588486,warmth,high_warmth_t035_s00092,0.05,35,raw
3.4218379974365236,warmth,high_warmth,sd_matched,False,0.0625,warmth,3.2506901293408137,target,additive,warmth,1,21.6875,0.007588047068566084,steering,,1.0526497024588486,warmth,high_warmth_t056_s00128,0.05,56,raw
