mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_040,-0.1,7.264404296875,-13.548095703125,competence,,random,040,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_040,-0.1,1.96875,-19.21875,competence,,random,040,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_040,-0.1,5.21875,-16.21875,competence,,random,040,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_040,-0.1,6.37841796875,-13.68408203125,competence,,random,040,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_040,-0.1,7.5390625,30.6640625,competence,,random,040,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_040,-0.1,4.15625,26.15625,competence,,random,040,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_040,-0.1,2.9375,25.625,competence,,random,040,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_040,-0.1,3.765625,24.765625,competence,,random,040,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_040,-0.1,3.375,25.5625,competence,,random,040,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_040,-0.1,4.59375,26.21875,competence,,random,040,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_040,-0.1,6.28125,27.75,competence,,random,040,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_040,-0.1,3.171875,23.921875,competence,,random,040,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_040,-0.1,6.46875,28.15625,competence,,random,040,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_040,-0.1,4.3671875,25.9921875,competence,,random,040,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_040,-0.05,7.53125,-13.96875,competence,,random,040,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_040,-0.05,5.21875,-16.21875,competence,,random,040,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_040,-0.05,7.640625,-12.984375,competence,,random,040,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_040,-0.05,6.75,-14.25,competence,,random,040,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_040,-0.05,6.640625,-13.859375,competence,,random,040,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_040,-0.05,3.8125,-17.875,competence,,random,040,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_040,-0.05,7.46875,-13.34375,competence,,random,040,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_040,-0.05,4.8125,-16.375,competence,,random,040,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_040,-0.05,5.375,-16.0625,competence,,random,040,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_040,-0.05,6.9375,-13.125,competence,,random,040,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_040,-0.05,-5.21875,17.90625,competence,,random,040,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_040,-0.05,-3.4375,18.5625,competence,,random,040,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_040,-0.05,-1.8125,20.875,competence,,random,040,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_040,-0.05,-2.125,18.875,competence,,random,040,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_040,-0.05,-2.5,19.6875,competence,,random,040,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_040,-0.05,-3.25,18.375,competence,,random,040,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_040,-0.05,-4.0625,17.40625,competence,,random,040,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_040,-0.05,-1.9375,18.8125,competence,,random,040,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_040,-0.05,-4.6875,17.0,competence,,random,040,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_040,-0.05,-2.1875,19.4375,competence,,random,040,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_040,0.0,21.5,0.0,competence,,random,040,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_040,0.0,21.4375,0.0,competence,,random,040,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_040,0.0,20.625,0.0,competence,,random,040,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_040,0.0,21.0,0.0,competence,,random,040,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_040,0.0,20.5,0.0,competence,,random,040,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_040,0.0,21.6875,0.0,competence,,random,040,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_040,0.0,20.8125,0.0,competence,,random,040,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_040,0.0,21.1875,0.0,competence,,random,040,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_040,0.0,21.4375,0.0,competence,,random,040,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_040,0.0,20.0625,0.0,competence,,random,040,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_040,0.0,-23.125,0.0,competence,,random,040,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_040,0.0,-22.0,0.0,competence,,random,040,denoised
