alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
-18.85252685546875,warmth,low_warmth,sd_matched,False,0.4375,warmth,5.439453029132101,target,additive,warmth,0,-24.4375,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t079_s00169,-0.1,79,raw
-18.85252685546875,warmth,low_warmth,sd_matched,False,0.9375,warmth,5.439453029132101,target,additive,warmth,0,-24.65625,0.02297270856797695,steering,,-3.4658865063270508,warmth,low_warmth_t097_s00197,-0.1,97,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.75,warmth,5.439453029132101,target,additive,warmth,1,26.0625,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t019_s00004,-0.05,19,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.734375,warmth,5.439453029132101,target,additive,warmth,1,23.640625,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t003_s00028,-0.05,3,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.4375,warmth,5.439453029132101,target,additive,warmth,1,25.8125,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t008_s00048,-0.05,8,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.75,warmth,5.439453029132101,target,additive,warmth,1,25.5625,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t035_s00092,-0.05,35,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.625,warmth,5.439453029132101,target,additive,warmth,1,26.0625,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t056_s00128,-0.05,56,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.4375,warmth,5.439453029132101,target,additive,warmth,1,25.4375,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t057_s00132,-0.05,57,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.75,warmth,5.439453029132101,target,additive,warmth,1,26.125,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t066_s00140,-0.05,66,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.875,warmth,5.439453029132101,target,additive,warmth,1,25.71875,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t078_s00164,-0.05,78,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.90625,warmth,5.439453029132101,target,additive,warmth,1,25.59375,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t079_s00168,-0.05,79,raw
-9.426263427734375,warmth,high_warmth,sd_matched,False,-0.71875,warmth,5.439453029132101,target,additive,warmth,1,25.75,0.013318272307515144,steering,,-1.7329432531635254,warmth,high_warmth_t097_s00196,-0.05,97,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.375,warmth,5.439453029132101,target,additive,warmth,0,-25.46875,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t019_s00005,-0.05,19,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.25,warmth,5.439453029132101,target,additive,warmth,0,-25.25,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t003_s00029,-0.05,3,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.1875,warmth,5.439453029132101,target,additive,warmth,0,-25.78125,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t008_s00049,-0.05,8,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.28125,warmth,5.439453029132101,target,additive,warmth,0,-25.21875,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t035_s00093,-0.05,35,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.25,warmth,5.439453029132101,target,additive,warmth,0,-25.375,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t056_s00129,-0.05,56,raw
