mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,random_005,-0.05,-0.00625,-0.09375,0.06875,20,norm_preserving,sd_matched,0.01786573688424454,-0.011966323171965566,-0.6697917499567815,0.00023136191884987056
steering,competence,random_005,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.01786573688424454,0.0,0.0,0.0
steering,competence,random_005,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.01786573688424454,0.0,0.0,0.0
steering,competence,random_005,0.05,-0.05,-0.1125,0.0125,20,additive,sd_matched,0.01786573688424454,0.011966323171965566,0.6697917499567815,0.00021701421064790338
steering,competence,random_005,0.05,-0.05,-0.1125,0.0125,20,norm_preserving,sd_matched,0.01786573688424454,0.011966323171965566,0.6697917499567815,0.00021701421064790338
steering,competence,random_005,0.1,-0.0375,-0.10625,0.01875,20,additive,sd_matched,0.01786573688424454,0.023932646343931132,1.339583499913563,0.0002793809399008751
steering,competence,random_005,0.1,-0.0375,-0.10625,0.01875,20,norm_preserving,sd_matched,0.01786573688424454,0.023932646343931132,1.339583499913563,0.0002793809399008751
steering,competence,random_006,-0.1,-0.075,-0.15,0.0,20,additive,sd_matched,0.020251928106934932,-0.027129148733485754,-1.339583499913563,0.0004129829176235944
steering,competence,random_006,-0.1,-0.075,-0.15,0.0,20,norm_preserving,sd_matched,0.020251928106934932,-0.027129148733485754,-1.339583499913563,0.0004129829176235944
steering,competence,random_006,-0.05,-0.0875,-0.15,-0.0375,20,additive,sd_matched,0.020251928106934932,-0.013564574366742877,-0.6697917499567815,0.0001547704014228657
steering,competence,random_006,-0.05,-0.0875,-0.15,-0.0375,20,norm_preserving,sd_matched,0.020251928106934932,-0.013564574366742877,-0.6697917499567815,0.0001547704014228657
steering,competence,random_006,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.020251928106934932,0.0,0.0,0.0
steering,competence,random_006,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.020251928106934932,0.0,0.0,0.0
steering,competence,random_006,0.05,0.0125,-0.025,0.04375,20,additive,sd_matched,0.020251928106934932,0.013564574366742877,0.6697917499567815,0.0001434013101970777
steering,competence,random_006,0.05,0.0125,-0.025,0.04375,20,norm_preserving,sd_matched,0.020251928106934932,0.013564574366742877,0.6697917499567815,0.0001434013101970777
steering,competence,random_006,0.1,0.0125,-0.05,0.08125,20,additive,sd_matched,0.020251928106934932,0.027129148733485754,1.339583499913563,0.00035738907172344625
steering,competence,random_006,0.1,0.0125,-0.05,0.08125,20,norm_preserving,sd_matched,0.020251928106934932,0.027129148733485754,1.339583499913563,0.00035738907172344625
steering,competence,random_007,-0.1,0.025,-0.025,0.0875,20,additive,sd_matched,0.01889712302093078,-0.025314274194675614,-1.3395834999135627,0.00038333493284881115
steering,competence,random_007,-0.1,0.025,-0.025,0.0875,20,norm_preserving,sd_matched,0.01889712302093078,-0.025314274194675614,-1.3395834999135627,0.00038333493284881115
steering,competence,random_007,-0.05,-0.025,-0.0875,0.04375,20,additive,sd_matched,0.01889712302093078,-0.012657137097337807,-0.6697917499567814,0.0001703172893030569
steering,competence,random_007,-0.05,-0.025,-0.0875,0.04375,20,norm_preserving,sd_matched,0.01889712302093078,-0.012657137097337807,-0.6697917499567814,0.0001703172893030569
steering,competence,random_007,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.01889712302093078,0.0,0.0,0.0
steering,competence,random_007,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.01889712302093078,0.0,0.0,0.0
steering,competence,random_007,0.05,-0.09375,-0.15,-0.03125,20,additive,sd_matched,0.01889712302093078,0.012657137097337807,0.6697917499567814,0.00015954385162331164
steering,competence,random_007,0.05,-0.09375,-0.15,-0.03125,20,norm_preserving,sd_matched,0.01889712302093078,0.012657137097337807,0.6697917499567814,0.00015954385162331164
steering,competence,random_007,0.1,-0.0125,-0.0625,0.0375,20,additive,sd_matched,0.01889712302093078,0.025314274194675614,1.3395834999135627,0.0003525341162458062
steering,competence,random_007,0.1,-0.0125,-0.0625,0.0375,20,norm_preserving,sd_matched,0.01889712302093078,0.025314274194675614,1.3395834999135627,0.0003525341162458062
steering,competence,random_008,-0.1,-0.05,-0.125,0.025,20,additive,sd_matched,0.02164210777839641,-0.028991410483290805,-1.3395834999135627,0.0004475647583603859
steering,competence,random_008,-0.1,-0.05,-0.125,0.025,20,norm_preserving,sd_matched,0.02164210777839641,-0.028991410483290805,-1.3395834999135627,0.0004475647583603859
steering,competence,random_008,-0.05,0.0,-0.0625,0.06875,20,additive,sd_matched,0.02164210777839641,-0.014495705241645403,-0.6697917499567814,0.00018130670650862157
steering,competence,random_008,-0.05,0.0,-0.0625,0.06875,20,norm_preserving,sd_matched,0.02164210777839641,-0.014495705241645403,-0.6697917499567814,0.00018130670650862157
steering,competence,random_008,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.02164210777839641,0.0,0.0,0.0
steering,competence,random_008,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.02164210777839641,0.0,0.0,0.0
steering,competence,random_008,0.05,-0.01875,-0.06875,0.04375,20,additive,sd_matched,0.02164210777839641,0.014495705241645403,0.6697917499567814,0.00018297006317880005
steering,competence,random_008,0.05,-0.01875,-0.06875,0.04375,20,norm_preserving,sd_matched,0.02164210777839641,0.014495705241645403,0.6697917499567814,0.00018297006317880005
steering,competence,random_008,0.1,0.0375,-0.025,0.1,20,additive,sd_matched,0.02164210777839641,0.028991410483290805,1.3395834999135627,0.0003969046811107546
steering,competence,random_008,0.1,0.0375,-0.025,0.1,20,norm_preserving,sd_matched,0.02164210777839641,0.028991410483290805,1.3395834999135627,0.0003969046811107546
steering,competence,random_009,-0.1,-0.025,-0.1,0.05,20,additive,sd_matched,0.02090897309455348,-0.02800931535760047,-1.3395834999135627,0.0003353352949488908
steering,competence,random_009,-0.1,-0.025,-0.1,0.05,20,norm_preserving,sd_matched,0.02090897309455348,-0.02800931535760047,-1.3395834999135627,0.0003353352949488908
steering,competence,random_009,-0.05,-0.0125,-0.08125,0.0625,20,additive,sd_matched,0.02090897309455348,-0.014004657678800235,-0.6697917499567814,0.00014512293273583055
steering,competence,random_009,-0.05,-0.0125,-0.08125,0.0625,20,norm_preserving,sd_matched,0.02090897309455348,-0.014004657678800235,-0.6697917499567814,0.00014512293273583055
steering,competence,random_009,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.02090897309455348,0.0,0.0,0.0
steering,competence,random_009,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.02090897309455348,0.0,0.0,0.0
steering,competence,random_009,0.05,-0.08125,-0.13125,-0.03125,20,additive,sd_matched,0.02090897309455348,0.014004657678800235,0.6697917499567814,0.00014899534289725125
