mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,random_004,-0.05,0.01875,-0.01875,0.05625,20,norm_preserving,sd_matched,0.20834708081856756,-0.18040501797783803,-0.8658869482070546,6.293750629993156e-05
steering,competence,random_004,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.20834708081856756,0.0,0.0,0.0
steering,competence,random_004,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.20834708081856756,0.0,0.0,0.0
steering,competence,random_004,0.05,0.05,0.01875,0.09375,20,additive,sd_matched,0.20834708081856756,0.18040501797783803,0.8658869482070546,6.248651334317401e-05
steering,competence,random_004,0.05,0.05,0.01875,0.09375,20,norm_preserving,sd_matched,0.20834708081856756,0.18040501797783803,0.8658869482070546,6.248651334317401e-05
steering,competence,random_004,0.1,0.025,-0.00625,0.05625,20,additive,sd_matched,0.20834708081856756,0.36081003595567607,1.7317738964141092,0.00013626267900690436
steering,competence,random_004,0.1,0.025,-0.00625,0.05625,20,norm_preserving,sd_matched,0.20834708081856756,0.36081003595567607,1.7317738964141092,0.00013626267900690436
steering,competence,random_005,-0.1,-0.01875,-0.0625,0.01875,20,additive,sd_matched,0.2555722543988989,-0.44259335881571915,-1.7317738964141094,0.00024173571728169918
steering,competence,random_005,-0.1,-0.01875,-0.0625,0.01875,20,norm_preserving,sd_matched,0.2555722543988989,-0.44259335881571915,-1.7317738964141094,0.00024173571728169918
steering,competence,random_005,-0.05,-0.00625,-0.0375,0.025,20,additive,sd_matched,0.2555722543988989,-0.22129667940785958,-0.8658869482070547,0.00011260352039244026
steering,competence,random_005,-0.05,-0.00625,-0.0375,0.025,20,norm_preserving,sd_matched,0.2555722543988989,-0.22129667940785958,-0.8658869482070547,0.00011260352039244026
steering,competence,random_005,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.2555722543988989,0.0,0.0,0.0
steering,competence,random_005,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.2555722543988989,0.0,0.0,0.0
steering,competence,random_005,0.05,0.03125,0.0,0.0625,20,additive,sd_matched,0.2555722543988989,0.22129667940785958,0.8658869482070547,0.00010930169810308143
steering,competence,random_005,0.05,0.03125,0.0,0.0625,20,norm_preserving,sd_matched,0.2555722543988989,0.22129667940785958,0.8658869482070547,0.00010930169810308143
steering,competence,random_005,0.1,0.00625,-0.0125,0.025,20,additive,sd_matched,0.2555722543988989,0.44259335881571915,1.7317738964141094,0.00020286411745473742
steering,competence,random_005,0.1,0.00625,-0.0125,0.025,20,norm_preserving,sd_matched,0.2555722543988989,0.44259335881571915,1.7317738964141094,0.00020286411745473742
steering,competence,random_006,-0.1,0.01875,-0.01875,0.0625,20,additive,sd_matched,0.20785686793678362,-0.3599610980833167,-1.7317738964141094,0.0002246947551611811
steering,competence,random_006,-0.1,0.01875,-0.01875,0.0625,20,norm_preserving,sd_matched,0.20785686793678362,-0.3599610980833167,-1.7317738964141094,0.0002246947551611811
steering,competence,random_006,-0.05,0.00625,-0.03125,0.04375,20,additive,sd_matched,0.20785686793678362,-0.17998054904165836,-0.8658869482070547,5.2616585890064016e-05
steering,competence,random_006,-0.05,0.00625,-0.03125,0.04375,20,norm_preserving,sd_matched,0.20785686793678362,-0.17998054904165836,-0.8658869482070547,5.2616585890064016e-05
steering,competence,random_006,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.20785686793678362,0.0,0.0,0.0
steering,competence,random_006,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.20785686793678362,0.0,0.0,0.0
steering,competence,random_006,0.05,-0.0125,-0.04375,0.025,20,additive,sd_matched,0.20785686793678362,0.17998054904165836,0.8658869482070547,5.4868196457391605e-05
steering,competence,random_006,0.05,-0.0125,-0.04375,0.025,20,norm_preserving,sd_matched,0.20785686793678362,0.17998054904165836,0.8658869482070547,5.4868196457391605e-05
steering,competence,random_006,0.1,-0.0375,-0.0625,-0.0125,20,additive,sd_matched,0.20785686793678362,0.3599610980833167,1.7317738964141094,0.0002396427735220641
steering,competence,random_006,0.1,-0.0375,-0.0625,-0.0125,20,norm_preserving,sd_matched,0.20785686793678362,0.3599610980833167,1.7317738964141094,0.0002396427735220641
steering,competence,random_007,-0.1,0.0125,-0.01875,0.04375,20,additive,sd_matched,0.2205532756326522,-0.3819484055092531,-1.731773896414109,0.00020353327272459865
steering,competence,random_007,-0.1,0.0125,-0.01875,0.04375,20,norm_preserving,sd_matched,0.2205532756326522,-0.3819484055092531,-1.731773896414109,0.00020353327272459865
steering,competence,random_007,-0.05,-0.01875,-0.0625,0.0375,20,additive,sd_matched,0.2205532756326522,-0.19097420275462654,-0.8658869482070545,0.0001313044485868886
steering,competence,random_007,-0.05,-0.01875,-0.0625,0.0375,20,norm_preserving,sd_matched,0.2205532756326522,-0.19097420275462654,-0.8658869482070545,0.0001313044485868886
steering,competence,random_007,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.2205532756326522,0.0,0.0,0.0
steering,competence,random_007,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.2205532756326522,0.0,0.0,0.0
steering,competence,random_007,0.05,0.025,0.0,0.05,20,additive,sd_matched,0.2205532756326522,0.19097420275462654,0.8658869482070545,0.00012502363824751228
steering,competence,random_007,0.05,0.025,0.0,0.05,20,norm_preserving,sd_matched,0.2205532756326522,0.19097420275462654,0.8658869482070545,0.00012502363824751228
steering,competence,random_007,0.1,0.0125,-0.025,0.05,20,additive,sd_matched,0.2205532756326522,0.3819484055092531,1.731773896414109,0.00017211058002430946
steering,competence,random_007,0.1,0.0125,-0.025,0.05,20,norm_preserving,sd_matched,0.2205532756326522,0.3819484055092531,1.731773896414109,0.00017211058002430946
steering,competence,random_008,-0.1,0.0375,-0.0125,0.0875,20,additive,sd_matched,0.19996907643580836,-0.34630122666157065,-1.7317738964141092,0.00018331872706767172
steering,competence,random_008,-0.1,0.0375,-0.0125,0.0875,20,norm_preserving,sd_matched,0.19996907643580836,-0.34630122666157065,-1.7317738964141092,0.00018331872706767172
steering,competence,random_008,-0.05,0.01875,-0.025,0.06875,20,additive,sd_matched,0.19996907643580836,-0.17315061333078532,-0.8658869482070546,6.404658779501915e-05
steering,competence,random_008,-0.05,0.01875,-0.025,0.06875,20,norm_preserving,sd_matched,0.19996907643580836,-0.17315061333078532,-0.8658869482070546,6.404658779501915e-05
steering,competence,random_008,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.19996907643580836,0.0,0.0,0.0
steering,competence,random_008,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.19996907643580836,0.0,0.0,0.0
steering,competence,random_008,0.05,0.025,-0.01875,0.075,20,additive,sd_matched,0.19996907643580836,0.17315061333078532,0.8658869482070546,6.627973198192194e-05
steering,competence,random_008,0.05,0.025,-0.01875,0.075,20,norm_preserving,sd_matched,0.19996907643580836,0.17315061333078532,0.8658869482070546,6.627973198192194e-05
steering,competence,random_008,0.1,0.025,-0.0125,0.075,20,additive,sd_matched,0.19996907643580836,0.34630122666157065,1.7317738964141092,0.00019750097999349236
steering,competence,random_008,0.1,0.025,-0.0125,0.075,20,norm_preserving,sd_matched,0.19996907643580836,0.34630122666157065,1.7317738964141092,0.00019750097999349236
steering,competence,random_009,-0.1,0.00625,-0.03125,0.04375,20,additive,sd_matched,0.19989132956922306,-0.3461665866674903,-1.7317738964141094,0.0001333591208094731
steering,competence,random_009,-0.1,0.00625,-0.03125,0.04375,20,norm_preserving,sd_matched,0.19989132956922306,-0.3461665866674903,-1.7317738964141094,0.0001333591208094731
steering,competence,random_009,-0.05,0.0125,-0.025,0.04375,20,additive,sd_matched,0.19989132956922306,-0.17308329333374514,-0.8658869482070547,7.013525464572012e-05
steering,competence,random_009,-0.05,0.0125,-0.025,0.04375,20,norm_preserving,sd_matched,0.19989132956922306,-0.17308329333374514,-0.8658869482070547,7.013525464572012e-05
steering,competence,random_009,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.19989132956922306,0.0,0.0,0.0
steering,competence,random_009,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.19989132956922306,0.0,0.0,0.0
steering,competence,random_009,0.05,0.00625,-0.01875,0.03125,20,additive,sd_matched,0.19989132956922306,0.17308329333374514,0.8658869482070547,7.33232227503322e-05
