name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
shreya sharma,56.42857142857143,62.785714285714285,oreopoulos,14,25928.259765625,24940.251953125,1.625
sofiko kushtrim,52.027027027027025,57.846846846846844,jacquemet,111,24994.6640625,24061.423828125,1.125
steohen,34.0,52.75,neumark,4,25443.125,24477.791015625,0.875
stephanie,91.0,76.0,neumark,1,26780.5390625,25786.96875,1.125
stephen,55.0,91.0,neumark,1,26800.478515625,25799.220703125,1.75
steven,49.5,44.0,neumark,2,26730.1171875,25711.447265625,1.25
susan,58.838815789473685,60.625,farber,304,26975.337890625,25973.708984375,0.75
tameka,44.49,43.46,flake_leasure,200,25329.7578125,24420.021484375,2.0
tamika,50.20779220779221,48.745098039215684,bertrand,308,25815.474609375,24875.556640625,2.125
tammy,50.5,70.5,neumark,2,26725.611328125,25730.1875,0.75
tanisha,50.299674267100976,48.43322475570032,bertrand,307,25502.74609375,24576.15625,1.625
tanisha white,54.35294117647059,49.411764705882355,jacquemet,51,25639.91015625,24697.361328125,1.0
tao wang,44.81818181818182,73.27272727272727,oreopoulos,11,26663.82421875,25620.40234375,1.25
tara singh,64.77777777777777,68.11111111111111,oreopoulos,9,26517.529296875,25524.50390625,1.25
tawanda,42.663366336633665,40.7029702970297,flake_leasure,202,25523.71484375,24572.14453125,1.75
teresa,49.0,45.0,neumark,1,26608.236328125,25627.150390625,1.25
terrance,50.23762376237624,52.56435643564357,flake_leasure,202,25870.46875,24912.666015625,1.875
terrell,47.37623762376238,46.42574257425743,flake_leasure,202,26217.427734375,25279.50390625,2.375
thomas,74.0,82.0,neumark,1,26553.89453125,25552.701171875,1.5
timothy,42.0,41.666666666666664,neumark,3,26601.560546875,25608.27734375,0.75
timoty,40.0,33.0,neumark,1,25949.998046875,24961.078125,1.25
todd,54.69055374592834,59.98371335504886,bertrand,307,26538.51171875,25556.421875,1.0
tomeka,43.198019801980195,40.603960396039604,flake_leasure,202,25900.619140625,24926.74609375,1.875
tracy,41.0,45.5,neumark,4,26737.193359375,25745.951171875,0.75
tremayne,46.33876221498371,45.28664495114006,bertrand,307,25709.451171875,24737.072265625,1.625
tyler,54.0,55.333333333333336,neumark,3,26730.80859375,25731.560546875,1.25
tyrone,45.87012987012987,48.29545454545455,bertrand,308,26778.857421875,25801.9296875,1.5
victoria,70.0,60.0,neumark,1,26789.408203125,25794.87890625,0.75
vivian zhang,64.16666666666667,74.33333333333333,oreopoulos,6,26786.20703125,25758.134765625,1.125
wiliam,71.66666666666667,73.66666666666667,neumark,3,25170.966796875,24267.220703125,1.5
william,49.333333333333336,47.0,neumark,3,26736.169921875,25732.3125,0.625
william novak,56.1875,77.58333333333333,widner,48,26259.0859375,25267.375,0.75
xavier washington,54.02040816326531,59.285714285714285,gorzig,49,26795.537109375,25745.09765625,1.5
xiuying zhang,53.92857142857143,75.5,oreopoulos,14,25772.240234375,24828.8203125,0.875
yong zhang,36.44444444444444,63.666666666666664,oreopoulos,9,26474.1875,25457.09765625,0.5
zachary,55.75,54.5,neumark,4,26554.826171875,25554.98046875,1.875
