mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.0,-22.25,0.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,0.0,-19.765625,0.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,0.0,-22.5625,0.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,0.0,-22.71875,0.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,0.0,-22.875,0.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,0.0,-23.125,0.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,0.0,-22.03125,0.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,0.0,-22.6875,0.0,warmth,warmth,target,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,0.05,18.6328125,0.7705078125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,0.05,18.349609375,0.591796875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,0.05,18.9765625,0.76953125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,0.05,19.5546875,0.76953125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,0.05,18.890625,0.494140625,warmth,warmth,target,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,0.05,17.96875,0.390625,warmth,warmth,target,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,0.05,19.1015625,0.6044921875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,0.05,19.36328125,1.0032958984375,warmth,warmth,target,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,0.05,17.796875,0.76953125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,0.05,19.5390625,0.66796875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,0.05,-20.59375,1.0625,warmth,warmth,target,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,0.05,-21.09375,1.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.05,-21.25,1.0,warmth,warmth,target,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,0.05,-19.140625,0.625,warmth,warmth,target,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,0.05,-21.78125,0.78125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,0.05,-21.78125,0.9375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,0.05,-22.28125,0.59375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,0.05,-22.34375,0.78125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,0.05,-21.359375,0.671875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,0.05,-21.84375,0.84375,warmth,warmth,target,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,0.1,18.8203125,0.9580078125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,0.1,18.9765625,1.21875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,0.1,19.4453125,1.23828125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,0.1,19.921875,1.13671875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,0.1,19.5234375,1.126953125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,0.1,18.87890625,1.30078125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,0.1,19.6171875,1.1201171875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,0.1,19.765625,1.4056396484375,warmth,warmth,target,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,0.1,18.14453125,1.1171875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,0.1,19.8828125,1.01171875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,0.1,-19.6875,1.96875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,0.1,-19.65625,2.4375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.1,-19.890625,2.359375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,0.1,-17.1640625,2.6015625,warmth,warmth,target,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,0.1,-20.34375,2.21875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,0.1,-19.90625,2.8125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,0.1,-20.859375,2.015625,warmth,warmth,target,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,0.1,-20.78125,2.34375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,0.1,-19.75,2.28125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,0.1,-20.265625,2.421875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,competence,-0.1,15.671875,-2.1904296875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,-0.1,15.6875,-2.0703125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,-0.1,15.7734375,-2.43359375,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,competence,-0.1,16.484375,-2.30078125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,competence,-0.1,16.0546875,-2.341796875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,competence,-0.1,14.6875,-2.890625,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,competence,-0.1,15.84375,-2.6533203125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,competence,-0.1,15.84375,-2.5162353515625,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,competence,-0.1,14.5625,-2.46484375,warmth,competence,cross_axis,,raw
