name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
priyanka kaur,52.77777777777778,61.888888888888886,oreopoulos,9,37715.46484375,40424.76171875,-0.125
qahhar kazim,30.65,45.175,widner,40,36178.90234375,38784.53515625,-0.375
rabab saeed,38.2,54.6,oreopoulos,10,36513.390625,39136.9921875,-0.25
rachel,65.0,60.0,neumark,1,38724.6875,41518.42578125,-0.25
rahul kaur,47.30769230769231,60.61538461538461,oreopoulos,13,37876.83203125,40605.578125,-0.25
rasheed,46.14657980456026,52.09771986970684,bertrand,307,37201.76171875,39880.921875,-0.25
rebecca,64.29850746268657,60.681592039801,flake_leasure,201,38717.7265625,41516.1640625,-0.125
reginald,50.663366336633665,64.0,flake_leasure,202,38512.5546875,41299.0859375,-0.25
richard,6.0,4.0,neumark,1,38530.0390625,41325.328125,-0.25
robert,72.0,61.5,neumark,4,38525.73046875,41322.578125,-0.25
robert krueger,46.63414634146341,69.73170731707317,widner,41,37838.3359375,40603.96875,0.0
roderick,48.881188118811885,55.415841584158414,flake_leasure,202,37335.421875,40044.546875,-0.375
rose,71.58,62.75,farber,100,38711.9375,41501.31640625,-0.25
ryan,63.333333333333336,66.66666666666667,neumark,3,38714.28125,41505.82421875,-0.25
samantha,47.0,51.0,neumark,1,38721.5078125,41514.06640625,-0.25
samir sharma,48.23076923076923,65.07692307692308,oreopoulos,13,38052.40625,40808.69921875,0.0
sana khan,62.642857142857146,68.57142857142857,oreopoulos,14,37703.609375,40424.484375,-0.125
sandra,80.0,90.0,neumark,1,38540.7734375,41326.69921875,-0.125
sarah,64.34868421052632,65.13486842105263,bertrand,304,39057.171875,41870.33984375,-0.125
sarah davis,66.27083333333333,62.979166666666664,jacquemet,48,38551.9375,41343.59375,0.0
scott,60.49009900990099,66.33168316831683,flake_leasure,202,38521.73046875,41313.546875,-0.5
shakir imtiaz,39.34782608695652,43.08695652173913,widner,46,35687.94921875,38248.21875,-0.25
shannon,53.19,57.03,farber,100,38538.5625,41325.0390625,-0.375
sharon,39.0,45.0,neumark,1,38534.9140625,41324.56640625,-0.125
