layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm,warmth_direction_topic_cv,warmth_direction_topic_cv_std,comp_direction_topic_cv,comp_direction_topic_cv_std,warmth_to_comp_topic_transfer,warmth_to_comp_topic_transfer_std,comp_to_warmth_topic_transfer,comp_to_warmth_topic_transfer_std,warmth_cohens_d_ci_low,warmth_cohens_d_ci_high,comp_cohens_d_ci_low,comp_cohens_d_ci_high,cos_wc_ci_low,cos_wc_ci_high
31,0.6596,True,1.0,0.0,1.0,0.0,8.63373,9.035413,0.493539,97.8189,1.0,0.0,1.0,0.0,0.99,0.02,0.97,0.024495,6.878037929534912,10.561965942382812,7.5866289138793945,11.150256156921387,0.4327180087566376,0.5103390216827393
32,0.6809,False,1.0,0.0,1.0,0.0,6.630812,8.284783,0.440318,137.4822,1.0,0.0,1.0,0.0,0.9,0.044721,0.99,0.02,5.164691925048828,8.60445785522461,7.009819984436035,9.882454872131348,0.3731690049171448,0.46155399084091187
33,0.7021,False,1.0,0.0,1.0,0.0,7.437861,7.162463,0.430004,157.746,1.0,0.0,1.0,0.0,0.89,0.05831,0.89,0.066332,5.730504035949707,9.419967651367188,6.034236907958984,9.008060455322266,0.3631860017776489,0.4534339904785156
34,0.7234,False,1.0,0.0,1.0,0.0,6.137196,4.431508,0.430464,155.5412,1.0,0.0,0.98,0.04,0.8,0.094868,0.76,0.04899,4.675011157989502,8.379863739013672,3.7626030445098877,6.077485084533691,0.34835198521614075,0.4599109888076782
35,0.7447,False,1.0,0.0,1.0,0.0,6.360536,4.048507,0.414694,107.4171,0.99,0.02,0.97,0.06,0.79,0.05831,0.75,0.063246,4.837131023406982,8.341817855834961,3.521514892578125,5.556665897369385,0.3317430019378662,0.4404889941215515
36,0.766,False,1.0,0.0,1.0,0.0,5.615599,3.693276,0.407012,100.3812,0.99,0.02,0.96,0.08,0.75,0.070711,0.73,0.024495,4.303247928619385,7.959341049194336,3.331331968307495,4.83546781539917,0.3224650025367737,0.4355829954147339
37,0.7872,False,1.0,0.0,1.0,0.0,5.040555,3.641631,0.411321,116.6553,0.98,0.024495,0.96,0.08,0.69,0.04899,0.73,0.04,3.8707261085510254,7.427651882171631,3.339411973953247,4.703067779541016,0.32815998792648315,0.4348219931125641
38,0.8085,False,1.0,0.0,1.0,0.0,5.07041,3.394452,0.411274,144.2061,0.99,0.02,0.94,0.073485,0.68,0.067823,0.69,0.037417,3.835242986679077,7.489072799682617,3.0419840812683105,4.629786968231201,0.327657014131546,0.43417298793792725
39,0.8298,False,1.0,0.0,1.0,0.0,5.254122,4.14373,0.383306,127.4611,0.99,0.02,0.96,0.05831,0.67,0.092736,0.69,0.086023,4.010592937469482,7.436840057373047,3.749413013458252,5.5582499504089355,0.30753201246261597,0.4027720093727112
40,0.8511,False,1.0,0.0,1.0,0.0,5.272037,5.078156,0.398817,82.5741,1.0,0.0,0.99,0.02,0.72,0.074833,0.79,0.096954,4.335241794586182,7.016007900238037,4.354979991912842,6.736569881439209,0.32666900753974915,0.41592299938201904
41,0.8723,False,1.0,0.0,1.0,0.0,4.84585,5.722829,0.403074,68.7776,0.99,0.02,1.0,0.0,0.69,0.096954,0.77,0.04,4.029390811920166,6.452006816864014,4.860496997833252,7.295201778411865,0.3254980146884918,0.41878101229667664
42,0.8936,False,1.0,0.0,1.0,0.0,4.559999,6.577905,0.389065,71.5271,0.99,0.02,1.0,0.0,0.7,0.094868,0.81,0.05831,3.7591400146484375,6.186370849609375,5.355601787567139,7.96593713760376,0.30838900804519653,0.4069629907608032
43,0.9149,False,1.0,0.0,1.0,0.0,3.618375,6.159512,0.377651,73.0119,0.96,0.037417,1.0,0.0,0.67,0.04,0.8,0.070711,2.9837429523468018,5.3588361740112305,4.758793830871582,7.657617092132568,0.28933098912239075,0.4037579894065857
44,0.9362,False,1.0,0.0,1.0,0.0,3.114707,5.827222,0.357121,82.5059,0.94,0.037417,1.0,0.0,0.66,0.05831,0.81,0.05831,2.5438520908355713,4.804381847381592,4.375889778137207,7.380591869354248,0.25751399993896484,0.3871850073337555
45,0.9574,False,1.0,0.0,1.0,0.0,2.654243,5.459743,0.319408,65.5849,0.89,0.037417,1.0,0.0,0.63,0.074833,0.72,0.08124,2.1418159008026123,4.216116905212402,4.555012226104736,6.598221778869629,0.21321499347686768,0.358381986618042
46,0.9787,False,1.0,0.0,1.0,0.0,1.638776,4.342,0.284164,57.1471,0.76,0.066332,0.96,0.05831,0.61,0.066332,0.7,0.07746,1.1930869817733765,4.051891803741455,2.7135860919952393,5.542699813842773,0.1490669995546341,0.33754900097846985
47,1.0,False,0.94,0.037417,0.97,0.04,0.533405,1.27031,0.507056,9.3415,0.58,0.067823,0.69,0.073485,0.59,0.073485,0.55,0.044721,0.4824010133743286,1.7781130075454712,0.8829650282859802,3.2437100410461426,0.20068000257015228,0.5843740105628967
